"","y_cm","Es_keV","contents","PrReach","uPrReach","PrDet","uPrDet"
"1",0,140,"m",1.0525e-05,2.30132366157501e-07,6.96e-06,1.87750005198402e-07
"2",-250,140,"m",1.95e-07,3.20152711529982e-08,1.15e-07,2.39794070402085e-08
"3",-500,140,"m",2.8e-08,3.74187340913612e-09,1.8e-08,3.00002968151983e-09
"4",-750,140,"m",8.5e-09,2.06152507624816e-09,6.5e-09,1.802806154305e-09
"5",-1000,140,"m",4.6666595e-09,9.12884382927436e-10,3.166666e-09,7.26489951751582e-10
"6",-1250,140,"m",3.5e-09,7.63777925108974e-10,2.499999e-09,6.45506435976442e-10
"7",-1500,140,"m",3.8e-09,8.71787245605257e-10,2.4e-09,6.92833028081081e-10
"8",0,200,"m",0.00027505,1.17517158363694e-06,0.000181985,9.62220503602345e-07
"9",-250,200,"m",1.037e-05,2.28809545141806e-07,6.45e-06,1.82760358160625e-07
"10",-500,200,"m",7.165e-07,1.91511557738038e-08,4.62e-07,1.53938619780742e-08
"11",-750,200,"m",3.76e-07,1.37849236355339e-08,2.42e-07,1.10907650946632e-08
"12",-1000,200,"m",2.0666663e-07,5.92951994062393e-09,1.314999985e-07,4.69906665811717e-09
"13",-1250,200,"m",1.186666015e-07,4.50926823265015e-09,7.50000115e-08,3.57474625250666e-09
"14",-1500,200,"m",6.48e-08,3.62218904724753e-09,4.24e-08,2.93944697880401e-09
"15",0,250,"m",0.00083639,2.04642797810563e-06,0.000557155,1.68701705981838e-06
"16",-250,250,"m",4.0675e-05,4.52559938781594e-07,2.574e-05,3.6419586677295e-07
"17",-500,250,"m",2.5885e-06,3.63513848661918e-08,1.626e-06,2.86799896016369e-08
"18",-750,250,"m",1.1875e-06,2.46136773562993e-08,7.72e-07,1.98095683036002e-08
"19",-1000,250,"m",6.40166783e-07,1.04068066704459e-08,4.12000043e-07,8.33082390132979e-09
"20",-1250,250,"m",3.74833281e-07,7.96701735423464e-09,2.37666667e-07,6.35121267482157e-09
"21",-1500,250,"m",2.354e-07,6.94844959478012e-09,1.494e-07,5.52455570253392e-09
"22",0,300,"m",0.001582125,2.81580750387744e-06,0.001058355,2.32746936581258e-06
